run_id,timestamp_utc,dataset_seed,dataset,arm,ansatz_level,dilution,rff_width,seed,lr,lr_grid,in_selection,val_accuracy,test_accuracy,train_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds
a7_20260831T055216Z,2026-08-31T05:52:35+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.001,0.001 0.003 0.01 0.03,True,0.705,0.7258333333333333,0.7200000286102295,95,125,0.0,1.2661197920006089
a7_20260831T055216Z,2026-08-31T05:52:36+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.003,0.001 0.003 0.01 0.03,True,0.705,0.735,0.7252380847930908,57,87,0.0,0.5823292079994644
a7_20260831T055216Z,2026-08-31T05:52:37+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.01,0.001 0.003 0.01 0.03,True,0.7283333333333334,0.7466666666666667,0.7376190423965454,135,165,0.0,0.9606085000004896
a7_20260831T055216Z,2026-08-31T05:52:37+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.03,0.001 0.003 0.01 0.03,True,0.73,0.7625,0.7519047856330872,57,87,0.0,0.5188705000000482
a7_20260831T055216Z,2026-08-31T05:52:36+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,,1,0.001,0.001 0.003 0.01 0.03,True,0.7316666666666667,0.7091666666666666,0.7028571367263794,288,300,0.0,2.3003056249999645
a7_20260831T055216Z,2026-08-31T05:52:37+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,,1,0.003,0.001 0.003 0.01 0.03,True,0.745,0.7133333333333334,0.7133333086967468,188,218,0.0,1.331586750000497
a7_20260831T055216Z,2026-08-31T05:52:38+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,,1,0.01,0.001 0.003 0.01 0.03,True,0.7483333333333333,0.715,0.7135714292526245,55,85,0.0,0.4997492920001605
a7_20260831T055216Z,2026-08-31T05:52:38+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,,1,0.03,0.001 0.003 0.01 0.03,True,0.7433333333333333,0.72,0.7157142758369446,25,55,0.0,0.33924129200022435
a7_20260831T055216Z,2026-08-31T05:52:37+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,E,,linear,,1,0.001,0.001 0.003 0.01 0.03 0.1,False,0.7333333333333333,0.7591666666666667,0.7528571486473083,13,43,0.0,0.2522287909996521
a7_20260831T055216Z,2026-08-31T05:52:38+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,E,,linear,,1,0.003,0.001 0.003 0.01 0.03 0.1,False,0.74,0.755,0.7450000047683716,68,98,0.0,0.5715890829997079
