ansatz,R,x_setting,seed,n_theta,n_pairs,n_mw,n_bins,kl,mw_mean,mw_sd,fid_mean,wall_seconds
haar,0,none,1,0,5000,2000,75,0.0014343471810938785,0.9082101008288584,0.036000754191325916,0.03119623364295526,0.0
haar,0,none,2,0,5000,2000,75,0.0017855999991754539,0.909259498246483,0.03592732988722759,0.03110436039672254,0.0
haar,0,none,3,0,5000,2000,75,0.0030314538958141103,0.9102162507726478,0.03571176892764,0.030575289768590995,0.0
product,2,x_zero,1,35,5000,2000,75,0.2524951026526773,7.252642930666298e-16,1.1617366770750696e-15,0.03139312424716717,5.75161241699243
product,2,x_zero,2,35,5000,2000,75,0.23995377916079755,6.423306331271306e-16,1.0708089593452168e-15,0.0316550648260195,5.750591957999859
product,2,x_zero,3,35,5000,2000,75,0.2203059003731047,6.653788631183489e-16,1.0544707412025108e-15,0.030778772649958694,5.849419416990713
product,2,x_draw1,1,35,5000,2000,75,0.2373704775142612,3.1120883647872694e-15,1.908899145124451e-15,0.03064566394114141,6.071946667012526
product,2,x_draw1,2,35,5000,2000,75,0.25185021087481807,3.0779823134707844e-15,1.9274739488826426e-15,0.03138480533396604,5.921268707999843
product,2,x_draw1,3,35,5000,2000,75,0.24693689079236125,3.0627500535729273e-15,1.9353326810301393e-15,0.031134389726504116,6.003949709003791
product,2,x_draw2,1,35,5000,2000,75,0.24658794104292348,7.813749647311852e-16,1.2067900201341592e-15,0.030933866897824118,6.064713041996583
product,2,x_draw2,2,35,5000,2000,75,0.24563497902764098,7.673861546209082e-16,1.1738168527223785e-15,0.03164278171063374,6.097375166005804
product,2,x_draw2,3,35,5000,2000,75,0.2278436109989423,7.487344078072055e-16,1.1510525962538924e-15,0.030956425726760845,6.0901057080045575
L1,1,x_zero,1,20,5000,2000,75,0.14153469162480192,0.28956369980685615,0.2269485431984535,0.03124410682632011,4.091186374993413
L1,1,x_zero,2,20,5000,2000,75,0.13110521164755568,0.29371583261471557,0.22985712599692948,0.030993755398801726,4.061898708998342
L1,1,x_zero,3,20,5000,2000,75,0.15044912248045414,0.2924299812826034,0.22807655550431394,0.031609442871564475,4.017589458002476
L1,1,x_draw1,1,20,5000,2000,75,0.12451617073762009,0.3350306205898406,0.2206210770851322,0.032412813519377796,4.0947210419981275
L1,1,x_draw1,2,20,5000,2000,75,0.10111300272442511,0.34303840920658046,0.21878977521351,0.030756354663652233,4.069631874997867
L1,1,x_draw1,3,20,5000,2000,75,0.1357363968578451,0.3355743300507461,0.2236784090454702,0.03176326117338323,4.035592250002082
L1,1,x_draw2,1,20,5000,2000,75,0.12475845566277251,0.32861197103522466,0.21289069224419035,0.03186345827168557,4.055482833995484
L1,1,x_draw2,2,20,5000,2000,75,0.11344835219088473,0.33983105435256333,0.21381845046458275,0.03093591998036195,4.119230500000413
L1,1,x_draw2,3,20,5000,2000,75,0.1262020999997003,0.3296196770535939,0.21514355498598803,0.03189508978954507,4.16916858300101
L1,2,x_zero,1,35,5000,2000,75,0.04497104531706277,0.46656360656241164,0.23049692478214637,0.03135836583478634,6.851317041990114
L1,2,x_zero,2,35,5000,2000,75,0.060929646103895584,0.4765013468558409,0.2255877135236921,0.03228016224681132,6.819700292006019
L1,2,x_zero,3,35,5000,2000,75,0.04229731029902688,0.4681832846645541,0.2293899700888576,0.030891316175387613,6.8289507500012405
L1,2,x_draw1,1,35,5000,2000,75,0.036221092033209,0.5235785762849889,0.20778623574202953,0.031163763326338495,6.856807082993328
L1,2,x_draw1,2,35,5000,2000,75,0.046012557366244766,0.5247909571605627,0.2069598460061436,0.0325746141098267,6.8961840420088265
L1,2,x_draw1,3,35,5000,2000,75,0.03402751596905104,0.5257746430289255,0.20606938758626459,0.030935141561948046,6.8753399580018595
L1,2,x_draw2,1,35,5000,2000,75,0.03322025530116611,0.5235093747764429,0.20169633877881332,0.031162294123759433,7.016500041994732
L1,2,x_draw2,2,35,5000,2000,75,0.039401647735515036,0.5245269228249781,0.20124527947451756,0.031857832761263395,7.073932416999014
L1,2,x_draw2,3,35,5000,2000,75,0.03539497246193135,0.5240596025118793,0.2016080963380024,0.031000878327387592,7.012874124993687
L1,3,x_zero,1,50,5000,2000,75,0.021262013400813323,0.5938793215853106,0.20292953950435752,0.03163728863541279,10.037719958010712
