dataset_seed,dataset,arm,ansatz_level,dilution,seed,lr,val_accuracy,test_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds,run_id
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,linear,1,0.1,0.8166666666666667,0.8325,9,39,0.8970304131507874,362.66120954201324,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,1,0.1,0.745,0.7166666666666667,7,37,0.0,7.412286875012796,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,linear,3,0.1,0.815,0.8291666666666667,13,43,1.2873896360397339,395.7834138330072,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,3,0.1,0.7483333333333333,0.7566666666666667,26,56,0.0,7.825104499992449,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h2,1,0.1,0.8183333333333334,0.8141666666666667,16,46,1.1720538139343262,421.40181349997874,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,1,0.1,0.7633333333333333,0.7866666666666666,14,44,0.0,7.835205583018251,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h2,1,0.1,0.8216666666666667,0.8125,17,47,0.8149798512458801,428.6901183750015,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h2,1,0.1,0.7566666666666667,0.7508333333333334,22,52,0.0,7.7472397920209914,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,linear,2,0.1,0.8183333333333334,0.8175,33,63,0.969000518321991,565.2787802919629,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,linear,2,0.1,0.6983333333333334,0.6641666666666667,14,44,0.0,7.7227329590241425,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h2,3,0.1,0.825,0.8366666666666667,35,65,1.2682955265045166,580.9966063339962,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,3,0.1,0.5383333333333333,0.485,12,42,0.0,7.585284542001318,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,linear,2,0.1,0.8033333333333333,0.815,42,72,1.2756156921386719,640.0502235830063,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,2,0.1,0.6866666666666666,0.6891666666666667,21,51,0.0,7.822230707970448,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,linear,3,0.1,0.825,0.83,46,76,1.269327163696289,677.5688535419758,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,3,0.1,0.7033333333333334,0.6725,42,72,0.0,7.710732708976138,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,linear,1,0.1,0.82,0.8175,55,85,0.9356857538223267,748.6231275000027,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,1,0.1,0.75,0.7816666666666666,64,94,0.0,7.992683375021443,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h2,2,0.1,0.815,0.8208333333333333,57,87,1.4027706384658813,767.7849025409669,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,2,0.1,0.6916666666666667,0.6783333333333333,15,45,0.0,7.6043367920210585,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h4,1,0.1,0.815,0.8041666666666667,15,45,1.2672066688537598,393.24268695898354,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h4,1,0.1,0.7616666666666667,0.7891666666666667,14,44,0.0,7.605393915961031,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L1,h4,3,0.1,0.5383333333333333,0.485,12,42,0.5402822494506836,365.17688366700895,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h4,3,0.1,0.5383333333333333,0.485,12,42,0.0,7.897949166013859,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h2,3,0.1,0.83,0.8275,35,65,1.238149881362915,564.2665892919758,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h2,3,0.1,0.5383333333333333,0.485,12,42,0.0,7.62366441602353,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h4,3,0.1,0.5383333333333333,0.485,12,42,0.6386062502861023,366.8135493749869,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h4,3,0.1,0.76,0.77,19,49,0.0,7.925427375012077,d21_20260822T070952Z
