run_id,timestamp_utc,dataset_seed,dataset,arm,ansatz_level,dilution,rff_width,seed,lr,lr_grid,in_selection,val_accuracy,test_accuracy,train_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds
a7_20260821T203211Z,2026-08-21T20:32:51+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.001,0.001 0.003 0.01 0.03,True,0.705,0.7258333333333333,0.7200000286102295,95,125,0.0,3.434624294997775
a7_20260821T203211Z,2026-08-21T20:32:53+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.003,0.001 0.003 0.01 0.03,True,0.705,0.735,0.7252380847930908,57,87,0.0,1.5274914109977544
a7_20260821T203211Z,2026-08-21T20:32:56+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.01,0.001 0.003 0.01 0.03,True,0.7283333333333334,0.7466666666666667,0.7376190423965454,135,165,0.0,2.8936076420068275
a7_20260821T203211Z,2026-08-21T20:32:57+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,linear,,1,0.03,0.001 0.003 0.01 0.03,True,0.73,0.7625,0.7519047856330872,57,87,0.0,1.5194044509989908
a7_20260821T203211Z,2026-08-21T20:33:00+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,,1,0.001,0.001 0.003 0.01 0.03,True,0.7216666666666667,0.7375,0.7342857122421265,104,134,0.0,3.1845374639960937
a7_20260821T203211Z,2026-08-21T20:33:03+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,,1,0.003,0.001 0.003 0.01 0.03,True,0.7316666666666667,0.7633333333333333,0.7509523630142212,57,87,0.0,2.0630011899993406
a7_20260821T203211Z,2026-08-21T20:33:04+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,,1,0.01,0.001 0.003 0.01 0.03,True,0.7533333333333333,0.78,0.7714285850524902,43,73,0.0,1.7224912610035972
a7_20260821T203211Z,2026-08-21T20:33:05+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h2,,1,0.03,0.001 0.003 0.01 0.03,True,0.75,0.7816666666666666,0.767380952835083,10,40,0.0,0.9426211060053902
a7_20260821T203211Z,2026-08-21T20:33:08+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h4,,1,0.001,0.001 0.003 0.01 0.03,True,0.7183333333333334,0.7333333333333333,0.7307142615318298,81,111,0.0,2.6288280279986793
a7_20260821T203211Z,2026-08-21T20:33:09+00:00,11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L1,h4,,1,0.003,0.001 0.003 0.01 0.03,True,0.73,0.7458333333333333,0.7428571581840515,39,69,0.0,1.63440544000332
