status,generator_seed,dilution,ansatz,arm,lr,split,n,mean,sigma_seed,sigma_ci95_low,sigma_ci95_high,min,max,theta_displacement_mean,theta_displacement_max,best_epoch_mean,epochs_run_mean
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L1,A,0.03,test,2,0.83,0.0,0.0,0.0,0.83,0.83,0.818404346704483,0.8602797985076904,51.0,81.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L1,A,0.03,val,2,0.8191666666666666,0.001178511301977528,0.0005257918567971175,0.03760648344145925,0.8183333333333334,0.82,0.818404346704483,0.8602797985076904,51.0,81.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L1,B,0.03,test,2,0.71625,0.06540737725975558,0.02918144805224126,2.087159831001077,0.67,0.7625,0.0,0.0,56.0,86.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L1,B,0.03,val,2,0.7050000000000001,0.03535533905932733,0.015773755703914188,1.128194503243825,0.68,0.73,0.0,0.0,56.0,86.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,D_matched,0.03,test,2,0.7262500000000001,0.0430156625221817,0.019191402773095646,1.3726366456133239,0.6958333333333333,0.7566666666666667,0.0,0.0,40.5,70.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,D_matched,0.03,val,2,0.7291666666666667,0.024748737341529183,0.011041628992739956,0.7897361522706792,0.7116666666666667,0.7466666666666667,0.0,0.0,40.5,70.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,E,0.1,test,2,0.7683333333333333,0.0035355339059327407,0.0015773755703914222,0.11281945032438274,0.7658333333333334,0.7708333333333334,,,,
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,E,0.1,val,2,0.7508333333333334,0.0011785113019776065,0.0005257918567971525,0.03760648344146175,0.75,0.7516666666666667,,,,
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,F,0.03,test,2,0.8162499999999999,0.0017677669529664096,0.0007886877851957287,0.05640972516219262,0.815,0.8175,0.8817333281040193,1.0811480283737185,22.0,52.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,F,0.03,val,2,0.8016666666666667,0.004714045207910347,0.002103167427188575,0.15042593376584448,0.7983333333333333,0.805,0.8817333281040193,1.0811480283737185,22.0,52.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L2,A,0.01,test,2,0.8229166666666667,0.00883883476483189,0.003943438925978573,0.28204862581095813,0.8166666666666667,0.8291666666666667,0.888321578502655,0.9514595866203308,60.0,90.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L2,A,0.01,val,2,0.8116666666666668,0.0023570226039551345,0.0010515837135942699,0.07521296688292099,0.81,0.8133333333333334,0.888321578502655,0.9514595866203308,60.0,90.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L2,B,0.01,test,2,0.6825,0.04596194077712555,0.020505882415088456,1.4666528542169732,0.65,0.715,0.0,0.0,38.5,68.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,L2,B,0.01,val,2,0.7224999999999999,0.03653385036130494,0.01629954756071134,1.1658009866852868,0.6966666666666667,0.7483333333333333,0.0,0.0,38.5,68.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,D_matched,0.01,test,2,0.72375,0.041837151220204004,0.018665610916298456,1.3350301621718594,0.6941666666666667,0.7533333333333333,0.0,0.0,48.5,78.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,D_matched,0.01,val,2,0.7275,0.024748737341529183,0.011041628992739956,0.7897361522706792,0.71,0.745,0.0,0.0,48.5,78.5
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,E,0.1,test,2,0.7683333333333333,0.0035355339059327407,0.0015773755703914222,0.11281945032438274,0.7658333333333334,0.7708333333333334,,,,
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,E,0.1,val,2,0.7508333333333334,0.0011785113019776065,0.0005257918567971525,0.03760648344146175,0.75,0.7516666666666667,,,,
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,F,0.01,test,2,0.8116666666666668,0.0023570226039551345,0.0010515837135942699,0.07521296688292099,0.81,0.8133333333333334,0.7824985980987549,1.0137600898742676,39.0,69.0
PROVISIONAL — NOT A RESULT,all present in the CSV,linear,,F,0.01,val,2,0.7966666666666666,0.004714045207910347,0.002103167427188575,0.15042593376584448,0.7933333333333333,0.8,0.7824985980987549,1.0137600898742676,39.0,69.0
