status,generator_seed,dilution,ansatz,arm,lr,split,n,mean,sigma_seed,sigma_ci95_low,sigma_ci95_high,min,max,theta_displacement_mean,theta_displacement_max,best_epoch_mean,epochs_run_mean
complete contract grid,all present in the CSV,h2,L1,A,0.03,test,30,0.7299166666666665,0.16504372896679342,0.13144196995815166,0.22187079008850663,0.4658333333333333,0.8608333333333333,0.8310631334781646,1.4355770349502563,49.666666666666664,79.66666666666667
complete contract grid,all present in the CSV,h2,L1,A,0.03,val,30,0.746,0.1489983157095784,0.11866329160106412,0.20030069748964657,0.5133333333333333,0.8666666666666667,0.8310631334781646,1.4355770349502563,49.666666666666664,79.66666666666667
complete contract grid,all present in the CSV,h2,L1,B,0.03,test,30,0.6971388888888888,0.11792398911778228,0.09391548247242738,0.15852700856761998,0.4658333333333333,0.8175,0.0,0.0,33.5,63.5
complete contract grid,all present in the CSV,h2,L1,B,0.03,val,30,0.7078333333333333,0.10200870483477853,0.08124043973255499,0.13713185032405115,0.5133333333333333,0.815,0.0,0.0,33.5,63.5
complete contract grid,all present in the CSV,h2,,D_matched,0.03,test,30,0.6942222222222222,0.07059779409648655,0.05622457265619094,0.09490568622479847,0.485,0.7758333333333334,0.0,0.0,34.7,64.7
complete contract grid,all present in the CSV,h2,,D_matched,0.03,val,30,0.701111111111111,0.06429299154009689,0.05120338419058263,0.08643004444612988,0.5133333333333333,0.785,0.0,0.0,34.7,64.7
complete contract grid,all present in the CSV,h2,,E,0.1,test,30,0.7620833333333332,0.13054112070685736,0.10396385354154522,0.17548841008128777,0.4658333333333333,0.8525,0.0,0.0,39.9,69.9
complete contract grid,all present in the CSV,h2,,E,0.1,val,30,0.773666666666667,0.11559889034188808,0.09206375768794732,0.15540134298995203,0.5133333333333333,0.85,0.0,0.0,39.9,69.9
complete contract grid,all present in the CSV,h2,,F,0.03,test,30,0.7083333333333333,0.16322685950184562,0.12999500252034252,0.21942834488807883,0.4658333333333333,0.8375,0.5886182233691215,1.2146635055541992,40.166666666666664,70.16666666666667
complete contract grid,all present in the CSV,h2,,F,0.03,val,30,0.7256666666666668,0.14790011644499962,0.11778867809319876,0.19882437154844262,0.5133333333333333,0.8533333333333334,0.5886182233691215,1.2146635055541992,40.166666666666664,70.16666666666667
complete contract grid,all present in the CSV,h2,L2,A,0.03,test,30,0.752861111111111,0.15496487726727734,0.1234151025903706,0.20832163675953377,0.4658333333333333,0.8675,0.6613057853033145,1.081363081932068,52.833333333333336,82.83333333333333
complete contract grid,all present in the CSV,h2,L2,A,0.03,val,30,0.7680000000000001,0.1377886381827636,0.10973582670467531,0.18523135783595893,0.5133333333333333,0.8683333333333333,0.6613057853033145,1.081363081932068,52.833333333333336,82.83333333333333
complete contract grid,all present in the CSV,h2,L2,B,0.03,test,30,0.6608333333333332,0.11974149999028479,0.09536296073165984,0.16097031602195966,0.4658333333333333,0.81,0.0,0.0,52.56666666666667,82.56666666666666
complete contract grid,all present in the CSV,h2,L2,B,0.03,val,30,0.6740555555555556,0.10842452689869402,0.08635004490362876,0.1457567373118785,0.5133333333333333,0.83,0.0,0.0,52.56666666666667,82.56666666666666
