status,quantity,scope,value,note
complete contract grid,theta_displacement mean,arm A,0.8691710333184649,socket trained — 0 would be an optimiser failure (SPEC 7.7)
complete contract grid,theta_displacement CI95 on sigma,arm A,[0.25176121126339884; 0.3013111349852652],
complete contract grid,theta_displacement mean,arm B,0.0,socket frozen — 0 is correct here
complete contract grid,theta_displacement CI95 on sigma,arm B,[0.0; 0.0],
complete contract grid,theta_displacement mean,arm D_best,0.0,socket frozen — 0 is correct here
complete contract grid,theta_displacement CI95 on sigma,arm D_best,[0.0; 0.0],
complete contract grid,theta_displacement mean,arm D_matched,0.0,socket frozen — 0 is correct here
complete contract grid,theta_displacement CI95 on sigma,arm D_matched,[0.0; 0.0],
complete contract grid,theta_displacement mean,arm E,0.0,socket frozen — 0 is correct here
complete contract grid,theta_displacement CI95 on sigma,arm E,[0.0; 0.0],
complete contract grid,theta_displacement mean,arm F,0.6918105098019753,socket trained — 0 would be an optimiser failure (SPEC 7.7)
complete contract grid,theta_displacement CI95 on sigma,arm F,[0.24268334133541883; 0.3072592772920431],
complete contract grid,runs hitting the 300-epoch budget,arm A,1/240,fraction 0.004
complete contract grid,best_epoch mean,arm A,78.22916666666667,
complete contract grid,runs hitting the 300-epoch budget,arm B,1/240,fraction 0.004
complete contract grid,best_epoch mean,arm B,64.10416666666667,
complete contract grid,runs hitting the 300-epoch budget,arm D_best,0/90,fraction 0.000
complete contract grid,best_epoch mean,arm D_best,50.0,
complete contract grid,runs hitting the 300-epoch budget,arm D_matched,0/140,fraction 0.000
complete contract grid,best_epoch mean,arm D_matched,45.57857142857143,
complete contract grid,runs hitting the 300-epoch budget,arm E,0/120,fraction 0.000
complete contract grid,best_epoch mean,arm E,49.4,
complete contract grid,runs hitting the 300-epoch budget,arm F,1/140,fraction 0.007
complete contract grid,best_epoch mean,arm F,59.97857142857143,
complete contract grid,ridge control: adam - ridge,arm B,0.011506944444444445,"D-19 closed: reported BESIDE, not a consistency condition. The gap is the measured price of the readout convention."
complete contract grid,ridge control: adam - ridge,arm D_best,0.008324074074074072,"D-19 closed: reported BESIDE, not a consistency condition. The gap is the measured price of the readout convention."
complete contract grid,ridge control: adam - ridge,arm D_matched,0.02317857142857142,"D-19 closed: reported BESIDE, not a consistency condition. The gap is the measured price of the readout convention."
complete contract grid,ridge control: adam - ridge,arm E,0.07388194444444443,"D-19 closed: reported BESIDE, not a consistency condition. The gap is the measured price of the readout convention."
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds11|h2,0.2378055555555555,"acc(E) 0.7386, ceiling 0.9764, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds11|h4,0.07813888888888865,"acc(E) 0.8983, ceiling 0.9764, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds11|h42,-0.0015277777777777946,"acc(E) 0.9779, ceiling 0.9764, exceeds MDE: no"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds11|linear,0.20272222222222225,"acc(E) 0.7737, ceiling 0.9764, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds22|h2,0.17752777777777773,"acc(E) 0.8036, ceiling 0.9811, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds22|h4,0.12977777777777777,"acc(E) 0.8513, ceiling 0.9811, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds22|h42,0.005277777777777826,"acc(E) 0.9758, ceiling 0.9811, exceeds MDE: no"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds22|linear,0.17827777777777787,"acc(E) 0.8028, ceiling 0.9811, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds33|h2,0.1973055555555555,"acc(E) 0.7441, ceiling 0.9414, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds33|h4,0.12297222222222237,"acc(E) 0.8184, ceiling 0.9414, exceeds MDE: yes"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds33|h42,-0.0007777777777777661,"acc(E) 0.9422, ceiling 0.9414, exceeds MDE: no"
complete contract grid,"headroom against the ceiling max{SVM,MLP}",ds33|linear,0.17147222222222225,"acc(E) 0.7699, ceiling 0.9414, exceeds MDE: yes"
complete contract grid,TOST delta=0.02 — p,h2|L1|delta_AB,0.7152447212058182,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h2|L1|delta_AB,[-0.0050; +0.0706],half width 0.0378 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h2|L1|delta_AB,1.5130670773840198e-06,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.000 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 318 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h2|L1|delta_AB,318,
complete contract grid,TOST delta=0.02 — p,h2|L1|delta_AE,0.7073820190342127,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h2|L1|delta_AE,[-0.0697; +0.0054],half width 0.0375 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h2|L1|delta_AE,1.7964345971411833e-06,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h2|L1|delta_AE,313,
complete contract grid,TOST delta=0.02 — p,h2|L2|delta_AB,0.9992492545775351,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h2|L2|delta_AB,[+0.0573; +0.1268],half width 0.0347 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h2|L2|delta_AB,1.0172431169272549e-05,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.000 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 269 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h2|L2|delta_AB,269,
complete contract grid,TOST delta=0.02 — p,h2|L2|delta_AE,0.3771761980770647,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h2|L2|delta_AE,[-0.0673; +0.0489],half width 0.0581 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h2|L2|delta_AE,2.878330419289595e-11,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h2|L2|delta_AE,,
complete contract grid,TOST delta=0.02 — p,h4|L1|delta_AB,0.9999999033211293,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h4|L1|delta_AB,[+0.0941; +0.1424],half width 0.0242 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h4|L1|delta_AB,0.00818007246457176,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.008 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 131 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h4|L1|delta_AB,131,
complete contract grid,TOST delta=0.02 — p,h4|L1|delta_AE,0.008044767396328043,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h4|L1|delta_AE,[-0.0073; +0.0145],half width 0.0109
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h4|L1|delta_AE,0.8427223466121725,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h4|L1|delta_AE,28,
complete contract grid,TOST delta=0.02 — p,h4|L2|delta_AB,0.9999999813504523,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h4|L2|delta_AB,[+0.1041; +0.1529],half width 0.0244 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h4|L2|delta_AB,0.007205627064096373,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.007 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 133 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h4|L2|delta_AB,133,
complete contract grid,TOST delta=0.02 — p,h4|L2|delta_AE,0.00843844047936849,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h4|L2|delta_AE,[-0.0140; +0.0103],half width 0.0121
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h4|L2|delta_AE,0.7273626541627659,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h4|L2|delta_AE,34,
complete contract grid,TOST delta=0.02 — p,h42|L1|delta_AB,0.9999999999994528,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h42|L1|delta_AB,[+0.1343; +0.1705],half width 0.0181
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h42|L1|delta_AB,0.169773572332248,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.170 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 75 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h42|L1|delta_AB,75,
complete contract grid,TOST delta=0.02 — p,h42|L1|delta_AE,0.5860123634749118,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h42|L1|delta_AE,[-0.0261; -0.0153],half width 0.0054
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h42|L1|delta_AE,0.9999938155634203,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h42|L1|delta_AE,8,
complete contract grid,TOST delta=0.02 — p,h42|L2|delta_AB,0.9999999999999802,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,h42|L2|delta_AB,[+0.1536; +0.1897],half width 0.0180
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h42|L2|delta_AB,0.17552077855845064,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.176 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 74 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,h42|L2|delta_AB,74,
complete contract grid,TOST delta=0.02 — p,h42|L2|delta_AE,0.9933149322793988,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,h42|L2|delta_AE,[-0.0320; -0.0226],half width 0.0047
complete contract grid,TOST delta=0.02 — moc przy Δ=0,h42|L2|delta_AE,0.9999999419096494,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,h42|L2|delta_AE,7,
complete contract grid,TOST delta=0.02 — p,linear|L1|delta_AB,0.9999999963167521,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,linear|L1|delta_AB,[+0.0742; +0.1024],half width 0.0141
complete contract grid,TOST delta=0.02 — moc przy Δ=0,linear|L1|delta_AB,0.5244506827720232,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.524 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 46 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,linear|L1|delta_AB,46,
complete contract grid,TOST delta=0.02 — p,linear|L1|delta_AE,0.9999999999998779,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,linear|L1|delta_AE,[+0.0372; +0.0422],half width 0.0025
complete contract grid,TOST delta=0.02 — moc przy Δ=0,linear|L1|delta_AE,0.9999999999999989,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,linear|L1|delta_AE,4,
complete contract grid,TOST delta=0.02 — p,linear|L2|delta_AB,0.9999999897034382,⛔ NOT reported as a test — see the power row below
complete contract grid,TOST delta=0.02 — 90% CI,linear|L2|delta_AB,[+0.0921; +0.1323],half width 0.0201 > delta — NO result could declare equivalence
complete contract grid,TOST delta=0.02 — moc przy Δ=0,linear|L2|delta_AB,0.07488822941228782,"⛔ NOT a verdict. TOST at delta = 0.02 for delta_AB has power 0.075 and is not reported as a test; the 90% CI alone is reported. Declaring equivalence at this delta would need n ~ 91 seeds. This is a methodological contribution to the discussion (SPEC 7.5), not a missing result."
complete contract grid,seeds needed for 80% TOST power,linear|L2|delta_AB,91,
complete contract grid,TOST delta=0.02 — p,linear|L2|delta_AE,0.9999999998705502,REPORTED as a test (D-4)
complete contract grid,TOST delta=0.02 — 90% CI,linear|L2|delta_AE,[+0.0332; +0.0388],half width 0.0028
complete contract grid,TOST delta=0.02 — moc przy Δ=0,linear|L2|delta_AE,0.9999999999999972,reported as a test (D-4). A verdict of NON-equivalence at power ~1 is a POSITIVE result: the test COULD have declared equivalence and did not.
complete contract grid,seeds needed for 80% TOST power,linear|L2|delta_AE,4,
complete contract grid,McNemar b/c (summed over seeds),h2|L1|delta_AB,b=3680 c=2500,supplementary: the paired reading of the same population as the binomial SE
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed1,1.5064429385303805e-07,b=109 c=44 discordant 153
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed2,2.3307371723618404e-16,b=251 c=99 discordant 350
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed3,1.2909469607627952e-19,b=236 c=78 discordant 314
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed4,0.0007645817391550476,b=53 c=23 discordant 76
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed5,2.9798951927042937e-61,b=63 c=401 discordant 464
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed6,1.712727135938712e-08,b=214 c=112 discordant 326
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed7,0.0008332149554767807,b=93 c=52 discordant 145
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds11|seed10,2.086816426445787e-37,b=190 c=18 discordant 208
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed1,1.9482376627755696e-09,b=73 c=17 discordant 90
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed2,3.808597848374418e-08,b=59 c=13 discordant 72
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed3,3.672515599506724e-18,b=152 c=36 discordant 188
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed4,5.077541690652894e-19,b=82 c=5 discordant 87
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed5,1.3156155359607498e-46,b=165 c=536 discordant 701
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed6,3.990205005789969e-43,b=196 c=570 discordant 766
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed7,8.944882441841086e-27,b=289 c=86 discordant 375
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed8,5.084314490697215e-10,b=165 c=70 discordant 235
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds22|seed10,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed1,2.364920722052491e-07,b=92 c=34 discordant 126
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed2,9.791372807966313e-25,b=160 c=26 discordant 186
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed3,5.325533064611841e-22,b=235 c=70 discordant 305
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed4,5.787105603709877e-25,b=149 c=21 discordant 170
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed5,2.0703656210246182e-19,b=114 c=16 discordant 130
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed6,5.67775330312218e-15,b=239 c=97 discordant 336
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed7,1.2390336600216866e-15,b=151 c=42 discordant 193
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AB|ds33|seed10,1.3866318411496412e-18,b=150 c=34 discordant 184
complete contract grid,McNemar b/c (summed over seeds),h2|L1|delta_AE,b=1783 c=2941,"MANDATORY for Delta_AE: sigma_Delta(A-E) is SMALLER than the binomial SE, so the CI over seeds narrows the uncertainty by itself (raport.tex 3.7)."
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed1,0.0021551075525304214,b=111 c=69 discordant 180
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed2,0.14006351827142782,b=93 c=73 discordant 166
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed3,0.050250895335291444,b=52 c=33 discordant 85
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed4,0.00026558534298746995,b=62 c=27 discordant 89
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed5,1.8403710037883708e-85,b=39 c=434 discordant 473
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed6,0.006517764631278947,b=68 c=39 discordant 107
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed7,0.3443135145965885,b=87 c=74 discordant 161
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds11|seed10,7.638141345540223e-11,b=57 c=7 discordant 64
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed1,0.13249816396273675,b=23 c=13 discordant 36
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed2,2.3834933267526115e-11,b=59 c=7 discordant 66
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed3,1.0,b=20 c=21 discordant 41
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed4,0.0014504910141113214,b=31 c=10 discordant 41
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed5,6.515854829668037e-58,b=168 c=601 discordant 769
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed6,1.791478389379404e-53,b=178 c=596 discordant 774
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed7,0.014389633007095667,b=36 c=61 discordant 97
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed8,0.6207676687971154,b=48 c=54 discordant 102
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds22|seed10,1.0175028912727707e-56,b=167 c=593 discordant 760
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed1,0.001761872002940625,b=52 c=24 discordant 76
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed2,0.0021901868838920535,b=38 c=15 discordant 53
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed3,2.1457960315833694e-08,b=56 c=11 discordant 67
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed4,0.0014044946311139559,b=57 c=27 discordant 84
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed5,1.3785937739894998e-17,b=131 c=27 discordant 158
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed6,0.20736789985685422,b=37 c=26 discordant 63
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed7,0.8358461346314862,b=48 c=45 discordant 93
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed8,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed9,1.0,b=0 c=0 discordant 0
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AE|ds33|seed10,0.3593582639051107,b=65 c=54 discordant 119
complete contract grid,McNemar b/c (summed over seeds),h2|L1|delta_AF,b=3494 c=2717,supplementary: the paired reading of the same population as the binomial SE
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AF|ds11|seed1,0.034186728347739004,b=77 c=52 discordant 129
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AF|ds11|seed2,0.6964676629916763,b=55 c=50 discordant 105
complete contract grid,"McNemar p (exact, per seed)",h2|L1|delta_AF|ds11|seed3,0.735878800856881,b=16 c=19 discordant 35
