scope,dilution,arm,degenerate,runs,seeds_affected
axis point x arm,linear,A,0,60,
axis point x arm,linear,B,0,60,
axis point x arm,linear,D_best,0,180,
axis point x arm,linear,D_matched,0,30,
axis point x arm,linear,E,0,30,
axis point x arm,linear,F,0,30,
axis point x arm,h2,A,16,60,5|6|7|8|9|10
axis point x arm,h2,B,13,60,5|6|8|9|10
axis point x arm,h2,D_matched,3,50,8
axis point x arm,h2,E,5,30,8|9
axis point x arm,h2,F,16,50,6|7|8|9|10
axis point x arm,h3,A,1,60,8
axis point x arm,h3,B,2,60,2|8
axis point x arm,h3,D_matched,0,50,
axis point x arm,h3,E,0,30,
axis point x arm,h3,F,2,50,1
axis point x arm,h4,A,0,60,
axis point x arm,h4,B,1,60,8
axis point x arm,h4,D_matched,0,30,
axis point x arm,h4,E,0,30,
axis point x arm,h4,F,0,30,
axis point x arm,h42,A,0,60,
axis point x arm,h42,B,0,60,
axis point x arm,h42,D_matched,0,30,
axis point x arm,h42,E,0,30,
axis point x arm,h42,F,0,30,
"axis point, all arms",linear,ALL,0,390,
"axis point, all arms",h2,ALL,53,250,5|6|7|8|9|10
"axis point, all arms",h3,ALL,5,250,1|2|8
"axis point, all arms",h4,ALL,1,210,8
"axis point, all arms",h42,ALL,0,210,
