estimand,dilution,ansatz,n,mean,ci95_low,ci95_high,sigma_delta,mde,above_mde,ci95_excludes_zero,p_sign_exact,p_wilcoxon_exact,unpaired
delta_AB,h3,L1,30,0.11802777777777777,0.08685212867777602,0.14920342687777952,0.0832213290512324,0.04416866096055439,yes,yes,1.862645149230957e-09,1.862645149230957e-09,0
delta_AE,h3,L1,30,0.03066666666666667,0.02048024740437536,0.04085308592895798,0.02719197109775365,0.014431792497888365,yes,yes,0.00032491423189640045,5.457550287246704e-07,0
delta_BE,h3,L1,30,-0.08736111111111108,-0.11863545386285958,-0.05608676835936259,0.0834847852134742,0.044308486964785385,yes,yes,3.725290298461914e-09,3.725290298461914e-09,0
delta_AF,h3,L1,30,0.033694444444444444,0.00912345002627377,0.05826543886261512,0.06559064111324185,0.03481139778160365,no,yes,0.0005461126565933228,9.98377799987793e-06,0
delta_BD_matched,h3,L1,30,0.008833333333333339,-0.022294863438097397,0.039961530104764074,0.08309465820509898,0.044101432021528324,no,no,0.09873714670538902,0.15336665883660316,0
delta_AB,h3,L2,30,0.12705555555555556,0.09572403851285702,0.1583870725982541,0.08363740819383823,0.04438948966867561,yes,yes,3.725290298461914e-09,3.725290298461914e-09,0
delta_AE,h3,L2,30,0.021222222222222212,-0.0036365982091121456,0.04608104265355657,0.06635897357920478,0.035219180456802356,no,no,0.00032491423189640045,7.675029337406158e-05,0
delta_BE,h3,L2,30,-0.10583333333333332,-0.14147634381761987,-0.07019032284904676,0.09514665418431242,0.05049787546184082,yes,yes,5.774199962615967e-08,9.313225746154785e-09,0
delta_AF,h3,L2,30,0.022249999999999992,-0.013092356362901736,0.05759235636290172,0.09434407793365869,0.05007191833385149,no,no,0.001430906355381012,0.0003040935844182968,0
delta_BD_matched,h3,L2,30,-0.007722222222222219,-0.04684122283785557,0.03139677839341113,0.10442557946255569,0.055422546929665396,no,no,1.0,0.8552717231214046,0
