estimand,dilution,ansatz,n,mean,ci95_low,ci95_high,sigma_delta,mde,p_sign_exact,p_wilcoxon_exact
delta_AB_B_readout_adam,linear,L1,30,0.08833333333333333,0.07134246837966914,0.10532419828699753,0.04535598789421394,0.02407211317902977,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,linear,L1,30,0.0895,0.07241875194533082,0.10658124805466918,0.04559725959204705,0.024200165061190982,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_adam,linear,L2,30,0.11219444444444446,0.08801678594501083,0.13637210294387808,0.0645406569472062,0.034254132052105035,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,linear,L2,30,0.11775000000000002,0.0903134440672638,0.14518655593273624,0.07324006765622262,0.03887123353971307,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_adam,h2,L1,30,0.03277777777777778,-0.012754100818031341,0.0783096563735869,0.1215443322058171,0.0645081070211078,0.0002771615982055664,0.019095301628112793
delta_AB_B_readout_ridge,h2,L1,30,-0.002416666666666667,-0.06663853705846647,0.06180520372513314,0.17143602659298826,0.09098748868032108,0.04277394525706768,0.9797802269458771
delta_AB_B_readout_adam,h2,L2,30,0.09202777777777778,0.05019362592548381,0.13386192963007174,0.11167349573737613,0.059269286224299236,2.9802322387695312e-06,6.115436553955078e-05
delta_AB_B_readout_ridge,h2,L2,30,0.05247222222222223,-0.017377256817984972,0.12232170126242944,0.18645855490020632,0.09896050433792214,0.005222879350185394,0.1503827255219221
delta_AB_B_readout_adam,h4,L1,30,0.11824999999999998,0.08913283006273579,0.14736716993726418,0.07772635535564774,0.041252273624346025,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,h4,L1,30,0.12727777777777777,0.1110532291854282,0.14350232637012733,0.04331035715665523,0.022986420706585638,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_adam,h4,L2,30,0.12852777777777777,0.09915498119630797,0.15790057435924756,0.07840873374024714,0.04161443726508321,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,h4,L2,30,0.15375,0.12499662358451154,0.18250337641548847,0.07675523266032579,0.04073686261649767,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_adam,h42,L1,30,0.1523888888888889,0.13054378310299575,0.17423399467478207,0.05831406207246197,0.030949446088822757,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,h42,L1,30,0.21227777777777773,0.19546673212161988,0.22908882343393558,0.04487597219736233,0.023817350958674804,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_adam,h42,L2,30,0.1716666666666666,0.14992902455525337,0.19340430877807985,0.05802719491578273,0.030797194997323325,1.862645149230957e-09,1.862645149230957e-09
delta_AB_B_readout_ridge,h42,L2,30,0.23761111111111113,0.20848098389772807,0.2667412383244942,0.07776094394548065,0.041270631078076346,1.862645149230957e-09,1.862645149230957e-09
