dataset_seed,dilution,ansatz,lr_shared,lr_best_A,lr_best_B,delta_AB_at_shared_lr,delta_AB_each_own_lr,bias_of_the_shared_rule
11,h2,L1,0.03,0.03,0.03,0.10416666666666663,0.10416666666666663,0.0
11,h2,L2,0.03,0.03,0.003,0.09972222222222227,0.10777777777777775,-0.008055555555555483
11,h4,L1,0.03,0.03,0.03,0.1413888888888888,0.1413888888888888,0.0
11,h4,L2,0.03,0.01,0.03,0.08111111111111102,0.09694444444444428,-0.015833333333333255
11,h42,L1,0.01,0.03,0.01,0.16527777777777763,0.1694444444444444,-0.004166666666666763
11,h42,L2,0.01,0.01,0.01,0.17416666666666658,0.17416666666666658,0.0
11,linear,L1,0.03,0.03,0.03,0.12722222222222213,0.12722222222222213,0.0
11,linear,L2,0.03,0.03,0.01,0.11555555555555552,0.11749999999999994,-0.0019444444444444153
22,h2,L1,0.03,0.01,0.03,0.060555555555555474,0.06305555555555564,-0.0025000000000001688
22,h2,L2,0.01,0.01,0.01,0.16416666666666668,0.16416666666666668,0.0
22,h4,L1,0.01,0.01,0.01,0.07444444444444454,0.07444444444444454,0.0
22,h4,L2,0.01,0.03,0.01,0.1594444444444444,0.15361111111111114,0.005833333333333246
22,h42,L1,0.01,0.03,0.01,0.11138888888888898,0.11333333333333351,-0.0019444444444445264
22,h42,L2,0.01,0.03,0.01,0.18944444444444442,0.18361111111111106,0.005833333333333357
22,linear,L1,0.03,0.01,0.03,0.04250000000000009,0.04222222222222227,0.0002777777777778212
22,linear,L2,0.03,0.03,0.01,0.15388888888888885,0.15333333333333332,0.0005555555555555314
33,h2,L1,0.03,0.03,0.01,0.09916666666666663,0.09666666666666668,0.0024999999999999467
33,h2,L2,0.01,0.01,0.01,0.10972222222222228,0.10972222222222228,0.0
33,h4,L1,0.01,0.01,0.01,0.10833333333333317,0.10833333333333317,0.0
33,h4,L2,0.01,0.01,0.03,0.10916666666666675,0.11472222222222228,-0.005555555555555536
33,h42,L1,0.01,0.01,0.03,0.14527777777777784,0.14361111111111102,0.0016666666666668162
33,h42,L2,0.01,0.01,0.01,0.12250000000000005,0.12250000000000005,0.0
33,linear,L1,0.03,0.003,0.03,0.09638888888888886,0.09388888888888891,0.0024999999999999467
33,linear,L2,0.03,0.01,0.03,0.10111111111111104,0.10722222222222211,-0.006111111111111067
